"Sinapis_arvensis_D2__P_1"	"Sinapis_arvensis_D2__P_2"	"Sinapis_arvensis_D2__P_3"	"Sinapis_arvensis_D2__P_4"	"Sinapis_arvensis_D2__P_5"	"Sinapis_arvensis_D2__P_6"	"Sinapis_arvensis_D2__P_7"	"Sinapis_arvensis_D2__P_8"	"Buddleja_davidii_D2__P_1"	"Buddleja_davidii_D2__P_2"	"Buddleja_davidii_D2__P_3"	"Buddleja_davidii_D2__P_4"	"Buddleja_davidii_D2__P_5"	"Buddleja_davidii_D2__P_6"	"Buddleja_davidii_D2__P_7"	"Buddleja_davidii_D2__P_8"	"Buddleja_davidii_D2__P_9"	"Buddleja_davidii_D2__P_10"	"Buddleja_davidii_D2__P_11"	"Buddleja_davidii_D2__P_12"	"Buddleja_davidii_D2__P_13"	"Buddleja_davidii_D2__P_14"
37.63	49.65	40.23	21.25	21.73	23.6	21.65	16.05	27.19	38.76	26.15	16.93	12.43	29.52	11.76	9.09	27.31	17.95	30.14	30.17	33.4	33.07
29	19	33	40.07	17.73	21.82	23.84	25.74	38.16	30.17	54.27	17.03	26.26	17.34	14.04	27.32	11.89	32.27	38.71	38.59	41.79	22.19
28.42	11.59	24.39	55.2	13.16	23.32	6.43	7.39	28.99	5.39	25.64	13.03	10.58	6.42	-3.91	24.05	19.42	13.87	29.95	33.71	30.04	41.22
33.32	49.23	56.22	62.47	16.64	17.24	17.12	25.03	34.41	29.09	57.76	20.71	20.74	34.4	14.85	23.98	3.01	14.26	47.46	36.66	31.58	31.2
25.5	47.35	26.38	33.2	22.22	40.05	33.27	16.96	25.45	-2.34	21.69	13.29	3.55	0.2	22.92	20.19	-4.93	0.78	25.96	39.1	31.72	27.61
32.32	31.74	35.76	21.1	20.73	15.81	31.22	11.41	24.7	10.24	35.24	23.97	19.07	30.33	10.95	6.91	4.38	5.11	37.68	25.55	25.77	27.53
6.51	17.24	12.83	-8.58	-6.31	5.67	5.53	-0.07	25.06	-5.96	15.37	-16.79	13.82	-11.95	-11.46	-0.65	12.14	-16.32	22.91	10.77	9.68	7.15
25.45	22.57	25.71	44.2	34.48	19.16	11.47	11.23	25.75	27.17	26.43	-3.18	-0.33	23.45	6.72	0.91	25.71	14.46	33.45	38.42	2.49	17.3
39.4	42.9	48.27	37.1	34.38	28.15	24.84	11.43	38.35	23.65	56.72	17.72	33.8	19.93	28.9	18.61	19.22	20.1	42.51	33.42	32.45	35.99
42.21	40.1	35.59	34.45	12.79	25.31	19.6	35.94	43.29	25.19	36.16	29.65	18.3	20.14	30.8	18.31	21.97	18.65	43.03	47.73	32.48	30.43
14.1	32.01	20.37	18.85	37.18	8.74	17.8	23.16	29.41	56.93	22.63	17.4	14.07	5.24	16.5	2.47	-3.59	26.59	31.02	39.48	20.99	17.44
20.93	29.03	7.96	1.91	27.49	24.09	15.83	19.19	31.33	25.94	24.93	9.78	20.9	16.15	1.65	2.64	0.62	-2.94	31.75	15.31	0.35	5.24
38.17	32.3	40.03	47.44	30.94	24.02	16.48	19.33	41.68	22.95	41.97	31.16	15.53	36.02	6.97	9.24	43.74	16.47	29.83	31.48	27.8	25.06
40.51	12.75	18.39	15.07	12.53	39.47	24.73	24.2	19.22	30.4	28.79	13.53	13.72	25.98	26	21.76	3.91	22.99	35.69	25.96	23.16	20.33
35.21	34	25.35	40.28	19.17	8.77	2.96	-18.89	16.79	30.39	16.29	16.08	2.75	27.2	17.26	19.31	12.65	12.47	15.8	29.22	14.31	-2.47
41.34	37.95	24.22	37.34	29.36	19.01	14.45	3.83	20.75	23.15	19.97	8.32	13.54	0.93	15.2	9.66	13.67	15.55	42.34	32.75	25.02	20.94
45.56	47.49	33.89	27.08	13.48	47.23	26.95	16.3	34.14	17.97	29.91	16.15	23.57	39.71	17.78	26.38	4.55	32.93	42.64	50.46	45.92	40.73
31.42	39.74	12.62	33.09	28.97	28.81	21.22	11.53	30.31	29.77	23.86	6.94	11.25	26.55	27.29	25.34	-2.35	32.97	41.82	33.84	33.53	27.11
39.52	40.79	35.82	36.74	42.03	50.02	52.18	26.69	51.8	35.68	52.53	28.44	26.39	18.4	32.65	14.83	19.12	33.77	42.44	43.23	47.83	36.45
31.07	27.55	28.86	25.37	2.81	24.79	16.39	2.25	25.44	32.76	30.41	13.66	-2.09	6.55	13.89	3.5	13.06	-16.95	27.87	46.98	-11.73	4.45
28.04	24.82	20.91	15.79	9.96	18.07	6.35	-4.81	35.57	24.3	14.06	-0.19	11.82	6.16	7.59	3.55	27.25	-3.7	6.11	17.05	7.94	13.75
30.12	41.92	22.29	43.97	31.14	19.56	23.93	24.87	30.71	36.25	33.52	25.88	23.19	24.78	21.34	24.31	21.31	22.56	29.3	28.34	36.75	39.84
16.09	33.44	10.89	22.3	4.7	23.83	5.81	10.87	27.31	8.54	27.28	15.52	5.14	18.77	0.87	8.22	-1.91	12.63	10.87	23.18	25.95	8.55
15.35	27.16	19.47	20.86	23.05	41.17	12.69	29.31	27.77	19.93	22.5	7.63	16.52	15.29	14.51	8.08	2.98	-11.26	22.27	12.04	8.07	10.28
14.5	15.74	6.79	9.69	8.86	22.83	5.04	20.72	19.97	23.71	27.73	4.86	-3.88	10.87	19.98	4.41	0.94	12.17	28.51	24.65	19.66	12.84
23.6	23.1	17.9	18.79	11.18	6.49	11.1	18.49	15.66	13.68	19.13	19.44	7.31	13.68	9.14	-7.26	-1.24	-14.13	29.13	15.48	7.92	3.21
36.49	41.44	20.93	23.17	35.41	27.85	9.69	19.3	28.88	33.23	47.23	17.24	25.34	33.7	21.95	20.99	12.39	5.64	48	28.84	37.11	26.47
23.46	41.44	33.79	35.87	23.36	34.16	23.69	14.3	24.48	31.58	41.03	16.7	23.17	17.37	14.09	15.94	19.45	24.6	37.45	24.58	20.28	27.78
19.74	34.96	20.12	31.09	23.29	9.87	16.8	16.13	19.24	19.09	27.3	11.9	10.4	8.24	24.14	17.28	11.27	4.73	42.39	46.54	11.16	20.93
38.91	43.6	30.28	31.8	28.33	26.43	15.22	15.94	36.58	20.72	20.06	20.7	18.3	21.86	30.06	13.32	19.41	20.84	30.52	46.91	31.85	27.51
9.31	36.18	16.6	15.04	10.21	27.73	10.3	11.78	9.44	6.53	25.02	11.48	-19.7	6	-3.92	-3.23	12.32	-2.57	19.15	20.21	11.17	18.03
