"Senecio_inaequidens_E__P_1"	"Senecio_inaequidens_E__P_2"	"Senecio_inaequidens_E__P_3"	"Senecio_inaequidens_E__P_4"	"Origanum_vulgare_E__P_1"	"Origanum_vulgare_E__P_2"	"Origanum_vulgare_E__P_3"	"Origanum_vulgare_E__P_4"	"Reynoutria_japonica_E__P_1"	"Reynoutria_japonica_E__P_2"	"Reynoutria_japonica_E__P_3"	"Reynoutria_japonica_E__P_4"
4.93	6.61	3.63	3.28	30.11	13.35	11.31	14.5	3.98	5.65	7.06	4.07
4.98	6.82	3.83	3.39	30.1	13.61	11.45	14.34	3.86	5.7	7.13	4.04
5.32	7.09	3.96	3.69	30.17	13.72	11.6	14.5	4.18	5.82	7.4	4.45
5.21	6.88	4.05	3.43	29.9	13.66	11.43	14.35	3.96	5.65	7.26	4.17
5.38	6.97	3.95	3.49	30.12	13.53	11.47	14.5	3.97	5.73	7.17	4.31
5.22	6.89	3.96	3.28	29.83	13.41	11.41	14.4	3.97	5.59	7.1	4.14
5.38	7.02	4.09	3.44	30.16	13.31	11.49	14.39	3.97	5.65	7.17	4.13
5.35	6.89	3.93	3.21	29.9	13.21	11.34	14.17	3.86	5.39	6.91	4.1
5.52	6.97	4.16	3.36	30.05	13.4	11.46	14.2	3.84	5.78	7.07	4.08
5.57	7.03	4.09	3.31	29.92	13.46	11.25	14.57	4.02	5.74	7.23	4.07
5.56	7.22	4.32	3.41	30.03	13.59	11.34	14.42	4.08	5.51	7.33	4.23
5.68	7.16	4.44	3.44	29.91	13.63	11.42	14.36	3.95	5.53	7.32	4.04
