"Centaurea_nigra_K__P_1"	"Centaurea_nigra_K__P_2"	"Centaurea_nigra_K__P_3"	"Centaurea_nigra_K__P_4"	"Hypochaeris_radicata_K__P_1"	"Hypochaeris_radicata_K__P_2"	"Hypochaeris_radicata_K__P_3"	"Hypochaeris_radicata_K__P_4"	"Scabiosa_columbaria_K__P_1"	"Scabiosa_columbaria_K__P_2"	"Oenothera_erythrosepala_K__P_1"	"Oenothera_erythrosepala_K__P_2"	"Oenothera_erythrosepala_K__P_3"	"Origanum_vulgare_K__P_1"	"Origanum_vulgare_K__P_2"	"Hypericum_maculatum_K__P_1"	"Buddleja_davidii_K__P_1"	"Buddleja_davidii_K__P_2"	"Buddleja_davidii_K__P_3"	"Buddleja_davidii_K__P_4"	"Geranium_robertianum_K__P_1"	"Daucus_carota_K__P_1"	"Daucus_carota_K__P_2"	"Daucus_carota_K__P_3"	"Aegopodium_podagraria_K__P_1"	"Aegopodium_podagraria_K__P_2"
33.37	36.82	65.47	49.63	23.61	20.13	53.67	28.2	28.68	40.41	39.49	43.78	35.75	64.48	32.98	56.96	39.46	56.6	70.65	45.71	68.46	39.73	41.04	57.55	18.38	45.24
23.33	33.64	43.63	34.64	15.7	6.69	27.61	8.8	38.62	32.84	44.58	33.16	12.68	57.52	20.86	48.94	27.21	43.55	68.1	33.13	54.99	38.57	35.83	58.13	8.97	43.45
30.71	33.6	48.21	35.54	26.56	17.82	42.98	20.65	26.42	41.09	31.86	38.86	33.72	46.64	32.26	50.77	33.6	52.6	70.57	46.91	57.89	43.96	41.21	74.31	24.68	34.75
23.01	38.88	39.17	43.05	3.74	12.53	37	18.27	18.08	23.42	46.22	26.46	22.53	46.43	27.81	42.89	29.88	50.18	61.39	47.44	55.64	41.2	34.23	53.72	11.1	47.25
27.12	34.22	60.4	28.79	13.12	15.76	40.16	19.81	24.13	41.3	38.16	45.43	28.55	54	22.25	52.82	32.5	54.88	70	41.32	60.23	33.24	31.91	57.25	27.33	45.72
14.62	41.41	45.61	17.05	9.34	-4.8	38.79	7.3	16.37	41.5	34.36	16.36	0.72	31.94	6.47	46.56	16.76	50.77	47.05	38.58	62.26	35.16	37.5	53.99	10.33	35.77
20.84	27.38	51.14	36.61	-1.97	11.07	47.02	27.39	28.44	29.78	43.52	31.14	29.82	50.55	30.95	49.7	39.31	50.92	47.94	38.63	62.85	50.4	41.29	59.99	23.66	37.74
14.68	49.22	48.87	9.27	-3.4	-6.1	32.8	6.44	14.26	20.07	31.85	25.78	24.42	47.76	17.55	48.59	31.18	49.09	45.7	29.21	67.44	30.56	42.87	75.84	13.04	30
11.28	34.16	29.81	14.9	4.2	-5.94	36.46	1.83	20.5	32.19	31	20.39	13.52	55.6	17.62	56.26	20.9	33.86	69.18	34.65	47.68	37.09	32.14	46.84	8.21	39.5
35.04	31.34	45.39	30.16	21.94	7.71	52.08	30.41	17.65	40.34	51.31	29.09	24.17	63.58	31.51	60.95	30.4	48.63	65.14	47.56	67.38	38.9	39.86	66.88	29.47	43.11
19.83	21.96	46.13	19.38	-1	0.39	35.11	17.27	21.77	42.04	27.82	23.54	20.7	44.3	19.29	48.43	33.21	37.89	56.47	39.3	47.11	17.44	34.71	49.87	10.06	25.82
19.51	39.75	45.42	31.66	-4.44	-3.32	36.2	19.35	15.31	33.25	43.69	19.8	20.09	54.46	28.25	49.06	39.25	48.43	65.8	41.97	64.83	43.36	44.4	53.14	12.54	49.23
27.83	46.77	40.83	35.05	-0.58	8.99	36.82	16.68	18.73	16.31	37.35	41.55	20.26	58.42	26.77	61.33	31.5	53.58	64.55	47.34	68.67	45.79	38.27	66.59	16.76	50.94
13.84	28.9	52.45	30.02	10.56	25.87	46.37	19	31.95	43	36.02	56.12	36.8	57.7	33.01	46.08	31.98	60.84	67.04	43.45	57.33	47.62	42.87	54.95	30.87	44.26
16.91	25.88	32.49	10.48	-11.39	-0.6	20.12	4.18	4.56	28.62	18.95	16.32	18.05	38.07	9.31	35.5	18.18	46.92	52.36	33.45	50.06	26.06	30.82	56.37	7.9	28.18
21.12	36.89	36.78	20.98	-5.84	10.98	36.59	21.95	10.65	41.3	33.05	17.23	12.13	40.42	30.48	50.01	20.88	43.04	64.82	36.83	61.33	39.1	40.63	66.62	16.83	44.79
